,player_name,teams_played_for,league,games,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain
0,Sergio Agüero,Manchester City,EPL,33,2551,26,21,8,25.27015974,5.568922242,20.70318364,0.891538368,0.196473148,0.730414162,F S,148,33,4,0,6.878173082,27.80515491
1,Harry Kane,Tottenham,EPL,34,2589,21,19,4,17.15729224,3.922500966,14.87382253,0.596429626,0.136355769,0.517050609,F M S,112,27,4,0,5.549698736,16.48843899
2,Diego Costa,Chelsea,EPL,26,2111,20,19,3,15.21910376,4.554670916,14.45793492,0.648848573,0.194183033,0.616397036,F S,76,41,8,0,5.276972728,21.36578991
3,Charlie Austin,Queens Park Rangers,EPL,35,3078,18,15,5,17.88185019,2.548747033,14.0760429,0.522861117,0.074524767,0.411580202,F,131,23,4,1,3.041321298,13.71827617
4,Alexis Sánchez,Arsenal,EPL,35,2967,16,16,8,13.45174998,8.494179573,12.69058108,0.40804095,0.257659643,0.384951903,F M S,122,82,4,0,10.73675296,27.15757154
5,Olivier Giroud,Arsenal,EPL,27,1871,14,14,3,8.846344473,3.860136235,8.846344473,0.425532337,0.185682662,0.425532337,F S,70,29,5,1,4.129246939,13.63988042
6,Eden Hazard,Chelsea,EPL,38,3389,14,11,9,12.01609217,11.2388905,8.971416749,0.319105428,0.298465667,0.238249486,M,78,100,2,0,19.4763214,31.84057115
7,Saido Berahino,West Bromwich Albion,EPL,38,2940,14,10,1,13.84175339,1.961660521,10.79711479,0.423727145,0.060050832,0.330523922,F M S,86,28,2,0,2.439557684,11.90729394
8,Christian Benteke,Aston Villa,EPL,29,2380,13,12,2,8.455073807,2.921320032,7.69390497,0.319729682,0.110470085,0.290945986,F S,80,33,1,1,2.198609022,8.725395946
9,David Silva,Manchester City,EPL,32,2682,12,12,7,9.096987545,10.38841323,9.096987545,0.305268038,0.348604471,0.305268038,M,66,92,8,0,16.63357345,29.14427815
10,Wayne Rooney,Manchester United,EPL,33,2887,12,11,5,8.902106503,3.983562218,7.379768742,0.277516309,0.124184482,0.230058603,F M,79,45,5,1,7.295702989,15.43574343
11,Graziano Pellè,Southampton,EPL,38,3291,12,12,2,18.61650328,4.481623747,18.61650328,0.509111302,0.122560358,0.509111302,F S,123,43,6,0,5.598169405,24.78564694
12,Wilfried Bony,"Manchester City,Swansea",EPL,30,1604,11,10,3,10.45473239,3.508293623,9.693563554,0.586612167,0.196849393,0.543903192,F S,89,26,3,1,4.412425408,14.25221451
13,Nacer Chadli,Tottenham,EPL,35,2423,11,11,5,6.865526346,3.935559866,6.865526346,0.25501336,0.146182579,0.25501336,M S,54,41,3,0,8.626995286,15.64237767
14,Leonardo Ulloa,Leicester,EPL,37,2434,11,9,3,8.923919437,3.791994615,7.401581762,0.32997237,0.140213441,0.273682152,F S,49,36,3,0,2.50936935,9.963016774
15,Papiss Demba Cissé,Newcastle United,EPL,22,1137,11,10,1,8.957138859,0.334678318,8.196006797,0.709008353,0.026491687,0.648760433,F S,45,7,1,0,0.616738176,7.444708489
16,Mame Biram Diouf,Stoke,EPL,34,2451,11,11,3,11.64697849,3.466140971,11.64697849,0.427673629,0.127275678,0.427673629,F M S,55,28,7,0,0.861984162,13.59962958
17,Danny Ings,Burnley,EPL,35,3048,11,10,4,12.28951592,4.244326278,11.52834708,0.362879407,0.125324595,0.340403949,F M,97,35,6,0,2.825656678,16.55870387
18,Romelu Lukaku,Everton,EPL,36,2880,10,8,5,12.43079612,2.350205835,10.90853263,0.388462379,0.073443932,0.340891645,F S,105,37,1,0,5.078922748,15.74381001
19,Christian Eriksen,Tottenham,EPL,38,3160,10,10,2,7.389632631,6.088786539,7.389632631,0.210464221,0.173414806,0.210464221,M S,97,84,4,0,13.01811756,21.31857464
20,Diafra Sakho,West Ham,EPL,23,1765,10,10,2,9.070375496,2.615855719,9.070375496,0.462512065,0.133386411,0.462512065,F M S,66,23,2,0,0.912817895,9.083610157
21,Sadio Mané,Southampton,EPL,30,2142,10,10,3,8.553969949,3.982477756,8.553969949,0.359410502,0.167330998,0.359410502,F M S,60,40,5,0,4.032990456,14.56727633
22,Yaya Touré,Manchester City,EPL,29,2358,10,8,1,7.10934528,3.243578178,5.587007623,0.271349056,0.123800694,0.213244566,M S,89,33,5,0,20.90326176,26.02432759
23,Robin van Persie,Manchester United,EPL,27,2126,10,9,2,11.60347172,2.986051802,10.08113411,0.491209998,0.12640859,0.426764849,F S,76,27,5,0,1.688729293,12.91751412
24,Juan Mata,Manchester United,EPL,33,2318,9,8,4,6.597756471,4.968638537,5.836587574,0.256168284,0.192915215,0.226614703,M S,33,50,2,0,7.047830258,14.52084877
25,Steven Gerrard,Liverpool,EPL,28,2239,9,5,1,7.108814504,3.209077569,3.302970275,0.285749578,0.128993739,0.132767899,F M S,54,52,7,0,5.586606521,8.181374524
26,Ki Sung-yueng,Swansea,EPL,33,2692,8,8,1,4.33057791,1.264146536,4.33057791,0.144781579,0.042263443,0.144781579,M S,28,26,4,0,9.00447819,11.96013202
27,Jonathan Walters,Stoke,EPL,32,2439,8,8,4,5.561564697,3.240074114,5.561564697,0.20522379,0.11955993,0.20522379,F M S,45,24,5,0,2.669186649,9.581076044
28,Peter Crouch,Stoke,EPL,33,1648,8,8,2,6.730623106,1.883066188,6.730623106,0.367570437,0.102837352,0.367570437,F S,59,15,4,0,3.592045398,9.373048391
29,Nikica Jelavic,Hull,EPL,26,1815,8,8,1,4.894789139,0.863226663,4.894789139,0.242716817,0.042804628,0.242716817,F S,57,17,3,0,1.086763932,5.708562222
30,Kevin Mirallas,Everton,EPL,29,1430,7,7,1,4.718503349,1.58954772,3.957334526,0.296968742,0.100041465,0.249063012,F M S,52,18,3,0,2.281447175,6.50436656
31,Raheem Sterling,Liverpool,EPL,35,3059,7,7,7,8.785912294,6.036621025,8.785912294,0.25849366,0.177605718,0.25849366,F M S,84,75,5,0,5.501672655,18.19585335
